item_original_name,item_extracted_name,item_price
deviceModel,,
2 A2005,,
3, Samsung Galaxy A30s Dual SIM 64 GB Prism crush white 4 GB RAM ,1.111
3T, Celular Oneplus 3t Dual A3010 4g 64gb 5.5 16mp/16mp Cinza ,2.400
4047D,,
5, Samsung Galaxy J2 Core Dual SIM 16 GB Prata (Lavanda) 1 GB RAM ,519
5051J, Celular Alcatel Pop 4 5051j ,239
5056D,,
5056E,,
5T, Huawei Nova Series Nova 5t Dual SIM 128 GB Black 8 GB RAM ,2.800
6, Samsung Galaxy J4 Core Dual SIM 16 GB Preto 1 GB RAM ,619
6039J, Alcatel Idol 3 6039 Dual 4.7 4g 13mp 16gb Anatel Garantia ,629
6044D,,
6055B, Smartphone Alcatel Idol 4 6055b 16gb 3gb Ram 5.2 Novo ,549
62S, Celular 62s Mirage ,599
6T, Smartphone Oneplus 6t Mclaren 10gb/256gb Edição Limitada !! ,3.300
7 Voyager,,
705-G, Meizu M Series M5c Dual SIM 16 GB Preto 2 GB RAM ,499
8, Samsung Galaxy A30s Dual SIM 64 GB Prism crush white 4 GB RAM ,1.111
8050E, Alcatel 8050e (para Retirar Peças). ,250
82S, Celular 82s Em Perfeito Estado ,400
845 Joy, Smartphone LG Joy H222 Dual 4gb Cam 5mpx Open Box Anatel ,329
A10 Tablet MID70408B, Apple iPhone 7 128 GB Prata 2 GB RAM ,2.499
A1010, Moto G 16 Gb 2 Ram Preto ,600
A1601, Motorola One Vision Dual SIM 128 GB Azul-safira 4 GB RAM ,1.649
A2016a40, Celular Lenovo A2016a40 ,300
A2016b30, Lenovo Vibe B A2016b30 Dual 4g 8gb Cam 5mpx Open Box Anatel ,439
A2017,,
A2017G,,
A2017U,,
A3, Xiaomi Mi A3 Dual SIM 64 GB Acinzentado 4 GB RAM ,1.470
A3 PLUS, Alcatel A3 Plus Com Display Quebrado ,100
A3 XL, Smartphone Alcatel A3 Xl Dual 9008j Desbloqueado  Na Garanti ,600
A3300-GV, Celular Gradiente Gv230 Só Pega Brt 1 Chip. Envio Td.brasil ,99
A3_Pro, Xiaomi Mi A3 Dual SIM 64 GB Acinzentado 4 GB RAM ,1.470
A5, Umidigi A5 Pro Dual SIM 32 GB Breathing crystal 4 GB RAM ,1.195
A5 Pro, Umidigi A5 Pro Dual SIM 32 GB Breathing crystal 4 GB RAM ,1.195
A7, Apple iPhone 5s 16 GB Cinza-espacial 1 GB RAM ,899
A75, Celular Siemens A75 ,150
A7Pro,,
A8, Apple iPhone 6 16 GB Cinza-espacial 1 GB RAM ,1.754
ACTION-X3, LG Q Series Q6 32 GB Astro black 3 GB RAM ,794
ALCATEL 3C," Celular Alcatel 3c Novo, Fotos Reais Do Produto! ",550
ALCATEL ONETOUCH PIXI 3 (3.5)," Alcatel Pixi 4 4017 4017f - Dual, 3g, 8mp, 4gb - Novo ",349
ALCATEL ONETOUCH PIXI 3 (4.5), Alcatel Pixi 3 4028 - 4.5'' 8mp 3g Dual Chip - De Vitrine ,349
ALCATEL ONETOUCH PIXI 4 (4)," Alcatel Pixi 4 4017 4017f - Dual, 3g, 8mp, 4gb - Novo ",349
ALCATEL ONETOUCH POP 3 (5), Smartphone Alcatel 7040e 4gb Android 4.2 3g (mostruário) ,431
ALCATEL PIXI 4 (5), Alcatel Onetouch Pixi 4 5045 - 5'' 8gb 8mp 4g - De Vitrine ,449
AM530,,
ASUS Live, Asus ZenFone Live L1 ZA550KL (Snapdragon 425) Dual SIM 32 GB Preto-meia-noite 2 GB RAM ,789
ASUS ZenPad 3S 10,,
ASUS ZenPad Z8,,
ASUS_X00TD, Asus ZenFone Max Shot ZB634KL Dual SIM 64 GB Preto 4 GB RAM ,945
Alcatel 1," Alcatel Onetouch Pop C1 4015 - Dual Chip, 2mp - Novo ",299
Alcatel 1C," Alcatel Onetouch Pop C1 4015 - Dual Chip, 2mp - Novo ",299
Alcatel 1X, Celular ,3.000
Alcatel 3, Alcatel Idol 3 6039 Dual 4.7 4g 13mp 16gb Anatel Garantia ,629
Alcatel 5, Smartphone Alcatel A5 Led 5085j Dual Tela 5.2 16gb 16mp Novo ,579
Alcatel_4060A," Alcatel 3075m; Bluetooth E Wi-fi, Novo Lacrado Na Caixa. ",120
AllCall_S1_X, Smartphone Allcall Rio 16gb/1gb Ram Dourado Pronta Entrega ,399
Alpha, LG K Series K11 Alpha Dual SIM 16 GB Aurora black 2 GB RAM ,669
Alpha_X, LG K Series K11 Alpha Dual SIM 16 GB Aurora black 2 GB RAM ,669
Aquaris M5, Celular X8 M5 C6 Mini Ultra Fino Bluetooth - Pronta Entrega ,169
Aquaris U Plus,,
Aquaris U2, Ci Carga Tristar 1610a3 iPhone 5s 6 6p 6s 6sp Se Original U2 ,31
Aquaris V,,
Aquaris X,,
Aquaris X Pro,,
Aquaris X5, Smartphone Logic X5 Lite 5 3g 8gb Android 5.0 Preto ,370
Aristo,,
Armor 2, Ulefone Armor Series Armor 7 Dual SIM 128 GB Preto 8 GB RAM ,3.399
Armor_6E, Ulefone Armor Series Armor 7 Dual SIM 128 GB Preto 8 GB RAM ,3.399
Arnova 97 G4, Smartphone Lg G4 32gb H815 Original De Vitrine ,999
Ascend Y221, Motorola Moto G G (3rd Gen.) Dual SIM 16 GB Preto 2 GB RAM ,649
B2017G,,
B3-A40, Celular Lenovo C2 K10 A40 Sem Funcionar ,150
BL12000 PRO, Celular Doogee Bl12000 Capinha+película 4 Gb + 32 Gb Novo ,989
BL5000," Smartphone Doogee Bl5000 4gb, 64gb Fones De Ouvido Wireless ",999
BLADE A110, Zte Blade A110 - 8mp 4g 8gb Dual Chip Android - De Vitrine ,249
BLADE A310, Celular Ipro A30 Dual Sim Tela De 1.8 Com Camera E Radio Fm ,99
BLADE A512,,
BLADE A610,,
BLADE L110, Celular Zte Blade L110 Defeito (ler Descricao) 2/19 ,50
BLADE V0800,,
BLU Dash XL, Smartphone Blu Dash Xl {d710l} ,449
BLU Grand M, BLU Z5 Dual SIM 32 MB Cinza 32 MB RAM ,92
BLU S1, BLU Zoey Flex Dual SIM 32 MB Dourado 32 MB RAM ,550
BLU STUDIO J8 LTE, Celular Blu Studio J8 Lte Preço Negociável ,190
BLU VIVO XL2, Motorola Moto Z Z2 Play Dual SIM 64 GB Ouro-fino 4 GB RAM ,1.800
BLU Vivo 5 Mini, Celular Touch Blu 5 Mini ,195
BLade Zmax,,
BV6000,,
